# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.check.recursive.update.ms,1765726739241000000,1765726780021000000,0
workspaceModel.replace.project.model.ms,1765726739241000000,1765726780021000000,0
workspaceModel.pre.handlers.ms,1765726739241000000,1765726780021000000,0
workspaceModel.collect.changes.ms,1765726739241000000,1765726780021000000,0
workspaceModel.to.snapshot.ms,1765726739241000000,1765726780021000000,0
workspaceModel.loading.from.cache.ms,1765726739241000000,1765726780021000000,54
workspaceModel.loading.total.ms,1765726739241000000,1765726780021000000,93
workspaceModel.init.bridges.ms,1765726739241000000,1765726780021000000,0
workspaceModel.updates.ms,1765726739241000000,1765726780021000000,0
workspaceModel.updates.count,1765726739241000000,1765726780021000000,0
workspaceModel.update.unloaded.entities.ms,1765726739241000000,1765726780021000000,0
workspaceModel.initializing.ms,1765726739241000000,1765726780021000000,0
workspaceModel.updates.precise.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1765726739241000000,1765726780021000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.entities.ms,1765726739241000000,1765726780021000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1765726739241000000,1765726780021000000,8
workspaceModel.save.cache.to.file.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1765726739241000000,1765726780021000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1765726739241000000,1765726780021000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1765726739241000000,1765726780021000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1765726739241000000,1765726780021000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1765726739241000000,1765726780021000000,0
workspaceModel.load.cache.from.file.ms,1765726739241000000,1765726780021000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1765726739241000000,1765726780021000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1765726739241000000,1765726780021000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1765726739241000000,1765726780021000000,0
workspaceModel.load.cache.metadata.from.file.ms,1765726739241000000,1765726780021000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1765726739241000000,1765726780021000000,168348
NonBlockingReadAction.failedExecutionsCount,1765726739241000000,1765726780021000000,0
FlushQueue.waitingTimeMaxNs,1765726739241000000,1765726780021000000,0
NonBlockingReadAction.finalizedExecutionsCount,1765726739241000000,1765726780021000000,14
AWTEventQueue.dispatchTimeAvgNs,1765726739241000000,1765726780021000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1765726739241000000,1765726780021000000,0
AWTEventQueue.dispatchTimeTotalNS,1765726739241000000,1765726780021000000,35583113962
WriteAction.executionsCount,1765726739241000000,1765726780021000000,1
FlushQueue.waitingTimeAvgNs,1765726739241000000,1765726780021000000,0.0
FlushQueue.queueSizeMax,1765726739241000000,1765726780021000000,0
FlushQueue.executionTimeAvgNs,1765726739241000000,1765726780021000000,0.0
FlushQueue.queueSize90P,1765726739241000000,1765726780021000000,0
FlushQueue.tasksExecuted,1765726739241000000,1765726780021000000,0
FlushQueue.executionTime90PNs,1765726739241000000,1765726780021000000,0
AWTEventQueue.dispatchTimeMaxNs,1765726739241000000,1765726780021000000,0
FlushQueue.queueSizeAvg,1765726739241000000,1765726780021000000,0.0
FlushQueue.executionTimeMaxNs,1765726739241000000,1765726780021000000,0
FlushQueue.waitingTime90PNs,1765726739241000000,1765726780021000000,0
ReadAction.executionsCount,1765726739241000000,1765726780021000000,49075
AWTEventQueue.eventsDispatched,1765726739241000000,1765726780021000000,0
AWTEventQueue.dispatchTime90PNs,1765726739241000000,1765726780021000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1765726739241000000,1765726780021000000,2
FilePageCacheLockFree.totalBytesWritten,1765726739241000000,1765726780021000000,0
DirectByteBufferAllocator.hits,1765726739241000000,1765726780021000000,3
FilePageCacheLockFree.totalPagesRequested,1765726739241000000,1765726780021000000,4
FilePageCacheLockFree.totalBytesRequested,1765726739241000000,1765726780021000000,32768
MappedFileStorage.totalBytesMapped,1765726739241000000,1765726780021000000,0
FilePageCache.maxRegisteredFiles,1765726739241000000,1765726780021000000,529
StorageLockContext.competingThreads.90P,1765726739241000000,1765726780021000000,0
FilePageCacheLockFree.totalPagesHandedOver,1765726739241000000,1765726780021000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1765726739241000000,1765726780021000000,122
FilePageCacheLockFree.totalPagesWritten,1765726739241000000,1765726780021000000,0
StorageLockContext.competingThreads.avg,1765726739241000000,1765726780021000000,0.0
FilePageCacheLockFree.totalHeapBytesReclaimed,1765726739241000000,1765726780021000000,0
FilePageCache.pageHits,1765726739241000000,1765726780021000000,0
FilePageCache.disposedBuffers,1765726739241000000,1765726780021000000,193
FilePageCacheLockFree.totalPagesReclaimed,1765726739241000000,1765726780021000000,2
FilePageCacheLockFree.totalPagesAllocated,1765726739241000000,1765726780021000000,2
FilePageCacheLockFree.nativeBytesInUse,1765726739241000000,1765726780021000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1765726739241000000,1765726780021000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1765726739241000000,1765726780021000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1765726739241000000,1765726780021000000,16384
StorageLockContext.competingThreads.max,1765726739241000000,1765726780021000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1765726739241000000,1765726780021000000,28289
MappedFileStorage.totalTimeSpentOnMappingUs,1765726739241000000,1765726780021000000,1923
FilePageCache.totalPageDisposalsUs,1765726739241000000,1765726780021000000,15860
FilePageCacheLockFree.totalPagesReadMs,1765726739241000000,1765726780021000000,54
FilePageCacheLockFree.housekeeperTimeSpentMs,1765726739241000000,1765726780021000000,978
FilePageCacheLockFree.totalPagesWriteMs,1765726739241000000,1765726780021000000,0
FilePageCacheLockFree.totalBytesRead,1765726739241000000,1765726780021000000,16
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1765726739241000000,1765726780021000000,41959424
MappedFileStorage.storages,1765726739241000000,1765726780021000000,0
MappedFileStorage.totalPagesMapped,1765726739241000000,1765726780021000000,0
DirectByteBufferAllocator.reclaimed,1765726739241000000,1765726780021000000,45
FilePageCache.capacityInBytes,1765726739241000000,1765726780021000000,503316478
FilePageCache.pageLoadsAboveSizeThreshold,1765726739241000000,1765726780021000000,0
FilePageCache.maxCacheSizeInBytes,1765726739241000000,1765726780021000000,199229440
DirectByteBufferAllocator.misses,1765726739241000000,1765726780021000000,192
FilePageCacheLockFree.heapBytesInUse,1765726739241000000,1765726780021000000,0
FilePageCache.pageFastCacheHits,1765726739241000000,1765726780021000000,3815
FilePageCacheLockFree.totalPageAllocationsWaited,1765726739241000000,1765726780021000000,0
FilePageCache.totalPageLoadsUs,1765726739241000000,1765726780021000000,432674
FilePageCache.pageLoads,1765726739241000000,1765726780021000000,193
FilePageCache.uncachedFileAccess,1765726739241000000,1765726780021000000,109
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1765726739241000000,1765726780021000000,41959424
FilePageCacheLockFree.totalNativeBytesAllocated,1765726739241000000,1765726780021000000,16384
