# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalHeapBytesReclaimed,1765723066331000000,1765723098397000000,0
StorageLockContext.competingThreads.90P,1765723066331000000,1765723098397000000,0
FilePageCache.totalPageLoadsUs,1765723066331000000,1765723098397000000,281803
FilePageCacheLockFree.totalPagesReclaimed,1765723066331000000,1765723098397000000,2
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1765723066331000000,1765723098397000000,41959424
FilePageCacheLockFree.totalPagesAllocated,1765723066331000000,1765723098397000000,2
FilePageCacheLockFree.totalPageAllocationsWaited,1765723066331000000,1765723098397000000,0
DirectByteBufferAllocator.misses,1765723066331000000,1765723098397000000,192
FilePageCacheLockFree.totalHeapBytesAllocated,1765723066331000000,1765723098397000000,0
FilePageCache.maxCacheSizeInBytes,1765723066331000000,1765723098397000000,199229440
MappedFileStorage.totalBytesMapped,1765723066331000000,1765723098397000000,0
StorageLockContext.competingThreads.max,1765723066331000000,1765723098397000000,0
FilePageCache.totalPageDisposalsUs,1765723066331000000,1765723098397000000,9881
FilePageCache.pageHits,1765723066331000000,1765723098397000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1765723066331000000,1765723098397000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1765723066331000000,1765723098397000000,413
FilePageCache.capacityInBytes,1765723066331000000,1765723098397000000,503316478
FilePageCacheLockFree.totalClosedStoragesReclaimed,1765723066331000000,1765723098397000000,2
FilePageCacheLockFree.totalBytesRead,1765723066331000000,1765723098397000000,16
FilePageCache.disposedBuffers,1765723066331000000,1765723098397000000,193
FilePageCacheLockFree.totalBytesRequested,1765723066331000000,1765723098397000000,32768
FilePageCacheLockFree.housekeeperTurnsSkipped,1765723066331000000,1765723098397000000,23847
FilePageCacheLockFree.totalPagesRequestsMs,1765723066331000000,1765723098397000000,46
StorageLockContext.competingThreads.avg,1765723066331000000,1765723098397000000,0.0
DirectByteBufferAllocator.hits,1765723066331000000,1765723098397000000,3
FilePageCacheLockFree.totalNativeBytesReclaimed,1765723066331000000,1765723098397000000,16384
DirectByteBufferAllocator.disposed,1765723066331000000,1765723098397000000,150
FilePageCacheLockFree.totalBytesWritten,1765723066331000000,1765723098397000000,0
FilePageCacheLockFree.totalPagesWritten,1765723066331000000,1765723098397000000,0
FilePageCacheLockFree.totalPagesRequested,1765723066331000000,1765723098397000000,4
MappedFileStorage.totalPagesMapped,1765723066331000000,1765723098397000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1765723066331000000,1765723098397000000,41959424
FilePageCacheLockFree.heapBytesInUse,1765723066331000000,1765723098397000000,0
FilePageCache.maxRegisteredFiles,1765723066331000000,1765723098397000000,529
FilePageCache.uncachedFileAccess,1765723066331000000,1765723098397000000,109
MappedFileStorage.totalTimeSpentOnMappingUs,1765723066331000000,1765723098397000000,3556
FilePageCacheLockFree.totalPagesReadMs,1765723066331000000,1765723098397000000,32
FilePageCacheLockFree.totalPagesHandedOver,1765723066331000000,1765723098397000000,0
MappedFileStorage.storages,1765723066331000000,1765723098397000000,0
FilePageCache.pageFastCacheHits,1765723066331000000,1765723098397000000,3820
FilePageCacheLockFree.totalPagesWriteMs,1765723066331000000,1765723098397000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1765723066331000000,1765723098397000000,16384
FilePageCache.pageLoadsAboveSizeThreshold,1765723066331000000,1765723098397000000,0
FilePageCacheLockFree.nativeBytesInUse,1765723066331000000,1765723098397000000,0
FilePageCache.pageLoads,1765723066331000000,1765723098397000000,193
FilePageCacheLockFree.housekeeperTurnsDone,1765723066331000000,1765723098397000000,65
DirectByteBufferAllocator.reclaimed,1765723066331000000,1765723098397000000,45
workspaceModel.moduleManagerBridge.get.modules.ms,1765723066331000000,1765723098397000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1765723066331000000,1765723098397000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1765723066331000000,1765723098397000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1765723066331000000,1765723098397000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1765723066331000000,1765723098397000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1765723066331000000,1765723098397000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1765723066331000000,1765723098397000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1765723066331000000,1765723098397000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1765723066331000000,1765723098397000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1765723066331000000,1765723098397000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1765723066331000000,1765723098397000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1765723066331000000,1765723098397000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1765723066331000000,1765723098397000000,0
workspaceModel.mutableEntityStorage.entities.ms,1765723066331000000,1765723098397000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1765723066331000000,1765723098397000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1765723066331000000,1765723098397000000,0
workspaceModel.load.cache.from.file.ms,1765723066331000000,1765723098397000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1765723066331000000,1765723098397000000,0
workspaceModel.load.cache.metadata.from.file.ms,1765723066331000000,1765723098397000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1765723066331000000,1765723098397000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1765723066331000000,1765723098397000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1765723066331000000,1765723098397000000,0
workspaceModel.save.cache.to.file.ms,1765723066331000000,1765723098397000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1765723066331000000,1765723098397000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1765723066331000000,1765723098397000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1765723066331000000,1765723098397000000,0
workspaceModel.to.snapshot.ms,1765723066331000000,1765723098397000000,0
workspaceModel.updates.ms,1765723066331000000,1765723098397000000,0
workspaceModel.loading.from.cache.ms,1765723066331000000,1765723098397000000,31
workspaceModel.replace.project.model.ms,1765723066331000000,1765723098397000000,0
workspaceModel.initializing.ms,1765723066331000000,1765723098397000000,0
workspaceModel.pre.handlers.ms,1765723066331000000,1765723098397000000,0
workspaceModel.updates.precise.ms,1765723066331000000,1765723098397000000,0
workspaceModel.check.recursive.update.ms,1765723066331000000,1765723098397000000,0
workspaceModel.init.bridges.ms,1765723066331000000,1765723098397000000,0
workspaceModel.update.unloaded.entities.ms,1765723066331000000,1765723098397000000,0
workspaceModel.loading.total.ms,1765723066331000000,1765723098397000000,47
workspaceModel.updates.count,1765723066331000000,1765723098397000000,0
workspaceModel.collect.changes.ms,1765723066331000000,1765723098397000000,0
FlushQueue.waitingTimeMaxNs,1765723066331000000,1765723098397000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1765723066331000000,1765723098397000000,119630
FlushQueue.executionTime90PNs,1765723066331000000,1765723098397000000,0
WriteAction.executionsCount,1765723066331000000,1765723098397000000,1
NonBlockingReadAction.failedExecutionsCount,1765723066331000000,1765723098397000000,0
AWTEventQueue.eventsDispatched,1765723066331000000,1765723098397000000,0
FlushQueue.queueSizeAvg,1765723066331000000,1765723098397000000,0.0
FlushQueue.queueSizeMax,1765723066331000000,1765723098397000000,0
NonBlockingReadAction.failedExecutionTimeUs,1765723066331000000,1765723098397000000,0
NonBlockingReadAction.finalizedExecutionsCount,1765723066331000000,1765723098397000000,14
AWTEventQueue.dispatchTime90PNs,1765723066331000000,1765723098397000000,0
FlushQueue.executionTimeAvgNs,1765723066331000000,1765723098397000000,0.0
FlushQueue.waitingTime90PNs,1765723066331000000,1765723098397000000,0
FlushQueue.waitingTimeAvgNs,1765723066331000000,1765723098397000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1765723066331000000,1765723098397000000,0
ReadAction.executionsCount,1765723066331000000,1765723098397000000,49075
AWTEventQueue.dispatchTimeTotalNS,1765723066331000000,1765723098397000000,25463839786
FlushQueue.executionTimeMaxNs,1765723066331000000,1765723098397000000,0
FlushQueue.tasksExecuted,1765723066331000000,1765723098397000000,0
FlushQueue.queueSize90P,1765723066331000000,1765723098397000000,0
AWTEventQueue.dispatchTimeAvgNs,1765723066331000000,1765723098397000000,0.0
