# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.totalPageDisposalsUs,1765635018132000000,1765635046618000000,4766
MappedFileStorage.storages,1765635018132000000,1765635046618000000,0
FilePageCacheLockFree.totalPagesRequested,1765635018132000000,1765635046618000000,9
FilePageCache.pageFastCacheHits,1765635018132000000,1765635046618000000,13367
FileChannelInterruptsRetryer.totalRetriedAttempts,1765635018132000000,1765635046618000000,0
FilePageCacheLockFree.nativeBytesInUse,1765635018132000000,1765635046618000000,0
FilePageCacheLockFree.totalPagesAllocated,1765635018132000000,1765635046618000000,2
DirectByteBufferAllocator.misses,1765635018132000000,1765635046618000000,192
FilePageCache.pageLoadsAboveSizeThreshold,1765635018132000000,1765635046618000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1765635018132000000,1765635046618000000,16384
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1765635018132000000,1765635046618000000,41959424
FilePageCache.uncachedFileAccess,1765635018132000000,1765635046618000000,328
FilePageCache.maxCacheSizeInBytes,1765635018132000000,1765635046618000000,199229440
MappedFileStorage.totalTimeSpentOnMappingUs,1765635018132000000,1765635046618000000,1066984
DirectByteBufferAllocator.hits,1765635018132000000,1765635046618000000,3
FilePageCacheLockFree.totalPagesWritten,1765635018132000000,1765635046618000000,3
FilePageCache.totalPageLoadsUs,1765635018132000000,1765635046618000000,168727
FilePageCacheLockFree.totalPagesRequestsMs,1765635018132000000,1765635046618000000,63
FilePageCacheLockFree.totalPageAllocationsWaited,1765635018132000000,1765635046618000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1765635018132000000,1765635046618000000,21658
StorageLockContext.competingThreads.max,1765635018132000000,1765635046618000000,7
FilePageCacheLockFree.totalPagesReadMs,1765635018132000000,1765635046618000000,49
MappedFileStorage.totalBytesMapped,1765635018132000000,1765635046618000000,0
FilePageCache.disposedBuffers,1765635018132000000,1765635046618000000,193
FilePageCacheLockFree.totalHeapBytesReclaimed,1765635018132000000,1765635046618000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1765635018132000000,1765635046618000000,246
FilePageCacheLockFree.housekeeperTurnsDone,1765635018132000000,1765635046618000000,58
FilePageCache.pageLoads,1765635018132000000,1765635046618000000,193
DirectByteBufferAllocator.reclaimed,1765635018132000000,1765635046618000000,45
FilePageCacheLockFree.totalHeapBytesAllocated,1765635018132000000,1765635046618000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1765635018132000000,1765635046618000000,16384
StorageLockContext.competingThreads.avg,1765635018132000000,1765635046618000000,0.1509433962264151
FilePageCache.maxRegisteredFiles,1765635018132000000,1765635046618000000,529
FilePageCache.pageHits,1765635018132000000,1765635046618000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1765635018132000000,1765635046618000000,2
FilePageCacheLockFree.totalBytesRequested,1765635018132000000,1765635046618000000,73728
FilePageCache.capacityInBytes,1765635018132000000,1765635046618000000,503316478
StorageLockContext.competingThreads.90P,1765635018132000000,1765635046618000000,0
FilePageCacheLockFree.totalBytesRead,1765635018132000000,1765635046618000000,0
FilePageCacheLockFree.totalBytesWritten,1765635018132000000,1765635046618000000,24
FilePageCacheLockFree.heapBytesInUse,1765635018132000000,1765635046618000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1765635018132000000,1765635046618000000,41959424
FilePageCacheLockFree.totalPagesHandedOver,1765635018132000000,1765635046618000000,0
FilePageCacheLockFree.totalPagesReclaimed,1765635018132000000,1765635046618000000,2
DirectByteBufferAllocator.disposed,1765635018132000000,1765635046618000000,150
MappedFileStorage.totalPagesMapped,1765635018132000000,1765635046618000000,0
FilePageCacheLockFree.totalPagesWriteMs,1765635018132000000,1765635046618000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1765635018132000000,1765635046618000000,0
workspaceModel.mutableEntityStorage.entities.ms,1765635018132000000,1765635046618000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1765635018132000000,1765635046618000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1765635018132000000,1765635046618000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1765635018132000000,1765635046618000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1765635018132000000,1765635046618000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1765635018132000000,1765635046618000000,0
