# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.sync.entities.ms,1765609254855000000,1765609314879000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1765609254855000000,1765609314879000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1765609254855000000,1765609314879000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1765609254855000000,1765609314879000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1765609254855000000,1765609314879000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1765609254855000000,1765609314879000000,0
jps.global.get.libraries.ms,1765609254855000000,1765609314879000000,20
jps.global.get.library.by.name.ms,1765609254855000000,1765609314879000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1765609254855000000,1765609314879000000,0
jps.library.entities.serializer.load.entities.ms,1765609254855000000,1765609314879000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1765609254855000000,1765609314879000000,0
workspaceModel.global.updates.ms,1765609254855000000,1765609314879000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1765609254855000000,1765609314879000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1765609254855000000,1765609314879000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1765609254855000000,1765609314879000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1765609254855000000,1765609314879000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1765609254855000000,1765609314879000000,0
jps.global.handle.before.change.events.ms,1765609254855000000,1765609314879000000,0
jps.global.initialize.library.bridges.after.loading.ms,1765609254855000000,1765609314879000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1765609254855000000,1765609314879000000,0
workspaceModel.save.cache.to.file.ms,1765609254855000000,1765609314879000000,0
jps.global.initialize.library.bridges.ms,1765609254855000000,1765609314879000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1765609254855000000,1765609314879000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1765609254855000000,1765609314879000000,0
jps.load.initial.state.ms,1765609254855000000,1765609314879000000,13
workspaceModel.mutableEntityStorage.entities.ms,1765609254855000000,1765609314879000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1765609254855000000,1765609314879000000,0
jps.app.storage.content.reader.load.component.ms,1765609254855000000,1765609314879000000,2
workspaceModel.mutableEntityStorage.to.snapshot.ms,1765609254855000000,1765609314879000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1765609254855000000,1765609314879000000,0
jps.global.handle.changed.events.ms,1765609254855000000,1765609314879000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1765609254855000000,1765609314879000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1765609254855000000,1765609314879000000,0
workspaceModel.load.cache.from.file.ms,1765609254855000000,1765609314879000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1765609254855000000,1765609314879000000,0
workspaceModel.global.apply.state.to.project.ms,1765609254855000000,1765609314879000000,0
workspaceModel.global.updates.count,1765609254855000000,1765609314879000000,0
jps.global.get.library.ms,1765609254855000000,1765609314879000000,0
jps.library.entities.serializer.save.entities.ms,1765609254855000000,1765609314879000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1765609254855000000,1765609314879000000,2
jps.save.global.entities.ms,1765609254855000000,1765609314879000000,0
workspaceModel.init.bridges.ms,1765609314879000000,1765609320204000000,0
workspaceModel.updates.ms,1765609314879000000,1765609320204000000,0
workspaceModel.updates.count,1765609314879000000,1765609320204000000,0
workspaceModel.to.snapshot.ms,1765609314879000000,1765609320204000000,0
workspaceModel.initializing.ms,1765609314879000000,1765609320204000000,0
workspaceModel.updates.precise.ms,1765609314879000000,1765609320204000000,0
workspaceModel.pre.handlers.ms,1765609314879000000,1765609320204000000,0
workspaceModel.collect.changes.ms,1765609314879000000,1765609320204000000,0
workspaceModel.loading.total.ms,1765609314879000000,1765609320204000000,37
workspaceModel.loading.from.cache.ms,1765609314879000000,1765609320204000000,24
workspaceModel.replace.project.model.ms,1765609314879000000,1765609320204000000,0
workspaceModel.update.unloaded.entities.ms,1765609314879000000,1765609320204000000,0
workspaceModel.check.recursive.update.ms,1765609314879000000,1765609320204000000,0
StorageLockContext.competingThreads.90P,1765609314879000000,1765609320204000000,0
FilePageCache.uncachedFileAccess,1765609314879000000,1765609320204000000,0
FilePageCache.pageLoads,1765609314879000000,1765609320204000000,0
StorageLockContext.competingThreads.avg,1765609314879000000,1765609320204000000,0.0
FilePageCache.capacityInBytes,1765609314879000000,1765609320204000000,524288000
FilePageCache.disposedBuffers,1765609314879000000,1765609320204000000,430
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1765609314879000000,1765609320204000000,52453376
DirectByteBufferAllocator.hits,1765609314879000000,1765609320204000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1765609314879000000,1765609320204000000,52453376
FilePageCache.maxRegisteredFiles,1765609314879000000,1765609320204000000,1589
DirectByteBufferAllocator.reclaimed,1765609314879000000,1765609320204000000,44
