# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1765724672805000000,1765724708171000000,41959424
FilePageCache.pageLoadsAboveSizeThreshold,1765724672805000000,1765724708171000000,0
StorageLockContext.competingThreads.avg,1765724672805000000,1765724708171000000,0.0
FilePageCacheLockFree.totalPagesWritten,1765724672805000000,1765724708171000000,0
FilePageCache.maxRegisteredFiles,1765724672805000000,1765724708171000000,529
MappedFileStorage.totalBytesMapped,1765724672805000000,1765724708171000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1765724672805000000,1765724708171000000,436
FilePageCache.pageHits,1765724672805000000,1765724708171000000,0
MappedFileStorage.totalPagesMapped,1765724672805000000,1765724708171000000,0
FilePageCacheLockFree.totalPagesReadMs,1765724672805000000,1765724708171000000,37
FilePageCacheLockFree.totalBytesRequested,1765724672805000000,1765724708171000000,32768
FilePageCache.capacityInBytes,1765724672805000000,1765724708171000000,503316478
FilePageCache.maxCacheSizeInBytes,1765724672805000000,1765724708171000000,199229440
FilePageCacheLockFree.housekeeperTurnsDone,1765724672805000000,1765724708171000000,72
DirectByteBufferAllocator.misses,1765724672805000000,1765724708171000000,192
FilePageCacheLockFree.totalHeapBytesReclaimed,1765724672805000000,1765724708171000000,0
FilePageCacheLockFree.totalPagesReclaimed,1765724672805000000,1765724708171000000,2
FilePageCacheLockFree.totalNativeBytesReclaimed,1765724672805000000,1765724708171000000,16384
DirectByteBufferAllocator.reclaimed,1765724672805000000,1765724708171000000,45
FilePageCacheLockFree.housekeeperTurnsSkipped,1765724672805000000,1765724708171000000,26131
FilePageCacheLockFree.heapBytesInUse,1765724672805000000,1765724708171000000,0
FilePageCacheLockFree.totalPagesAllocated,1765724672805000000,1765724708171000000,2
FilePageCacheLockFree.totalBytesWritten,1765724672805000000,1765724708171000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1765724672805000000,1765724708171000000,2
FilePageCacheLockFree.totalPageAllocationsWaited,1765724672805000000,1765724708171000000,0
FilePageCache.totalPageDisposalsUs,1765724672805000000,1765724708171000000,18800
FilePageCacheLockFree.totalPagesRequested,1765724672805000000,1765724708171000000,4
FilePageCacheLockFree.totalPagesRequestsMs,1765724672805000000,1765724708171000000,54
FilePageCache.disposedBuffers,1765724672805000000,1765724708171000000,193
FilePageCacheLockFree.totalPagesHandedOver,1765724672805000000,1765724708171000000,0
FilePageCache.uncachedFileAccess,1765724672805000000,1765724708171000000,109
FilePageCache.pageLoads,1765724672805000000,1765724708171000000,193
StorageLockContext.competingThreads.max,1765724672805000000,1765724708171000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1765724672805000000,1765724708171000000,16384
FilePageCache.totalPageLoadsUs,1765724672805000000,1765724708171000000,410064
FilePageCacheLockFree.nativeBytesInUse,1765724672805000000,1765724708171000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1765724672805000000,1765724708171000000,1107
FilePageCache.pageFastCacheHits,1765724672805000000,1765724708171000000,3815
MappedFileStorage.storages,1765724672805000000,1765724708171000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1765724672805000000,1765724708171000000,0
FilePageCacheLockFree.totalPagesWriteMs,1765724672805000000,1765724708171000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1765724672805000000,1765724708171000000,0
DirectByteBufferAllocator.hits,1765724672805000000,1765724708171000000,3
StorageLockContext.competingThreads.90P,1765724672805000000,1765724708171000000,0
DirectByteBufferAllocator.disposed,1765724672805000000,1765724708171000000,150
FilePageCacheLockFree.totalBytesRead,1765724672805000000,1765724708171000000,16
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1765724672805000000,1765724708171000000,41959424
workspaceModel.init.bridges.ms,1765724672805000000,1765724708171000000,0
workspaceModel.loading.from.cache.ms,1765724672805000000,1765724708171000000,29
workspaceModel.updates.ms,1765724672805000000,1765724708171000000,0
workspaceModel.collect.changes.ms,1765724672805000000,1765724708171000000,0
workspaceModel.loading.total.ms,1765724672805000000,1765724708171000000,42
workspaceModel.initializing.ms,1765724672805000000,1765724708171000000,0
workspaceModel.updates.count,1765724672805000000,1765724708171000000,0
workspaceModel.replace.project.model.ms,1765724672805000000,1765724708171000000,0
workspaceModel.check.recursive.update.ms,1765724672805000000,1765724708171000000,0
workspaceModel.updates.precise.ms,1765724672805000000,1765724708171000000,0
workspaceModel.pre.handlers.ms,1765724672805000000,1765724708171000000,0
workspaceModel.to.snapshot.ms,1765724672805000000,1765724708171000000,0
workspaceModel.update.unloaded.entities.ms,1765724672805000000,1765724708171000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1765724672805000000,1765724708171000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1765724672805000000,1765724708171000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1765724672805000000,1765724708171000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1765724672805000000,1765724708171000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1765724672805000000,1765724708171000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1765724672805000000,1765724708171000000,0
workspaceModel.load.cache.metadata.from.file.ms,1765724672805000000,1765724708171000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1765724672805000000,1765724708171000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1765724672805000000,1765724708171000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1765724672805000000,1765724708171000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1765724672805000000,1765724708171000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1765724672805000000,1765724708171000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1765724672805000000,1765724708171000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1765724672805000000,1765724708171000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1765724672805000000,1765724708171000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1765724672805000000,1765724708171000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1765724672805000000,1765724708171000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1765724672805000000,1765724708171000000,0
workspaceModel.load.cache.from.file.ms,1765724672805000000,1765724708171000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1765724672805000000,1765724708171000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1765724672805000000,1765724708171000000,0
workspaceModel.mutableEntityStorage.entities.ms,1765724672805000000,1765724708171000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1765724672805000000,1765724708171000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1765724672805000000,1765724708171000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1765724672805000000,1765724708171000000,0
workspaceModel.save.cache.to.file.ms,1765724672805000000,1765724708171000000,0
FlushQueue.executionTimeMaxNs,1765724672805000000,1765724708171000000,0
FlushQueue.waitingTime90PNs,1765724672805000000,1765724708171000000,0
FlushQueue.queueSize90P,1765724672805000000,1765724708171000000,0
FlushQueue.executionTimeAvgNs,1765724672805000000,1765724708171000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1765724672805000000,1765724708171000000,0
FlushQueue.queueSizeAvg,1765724672805000000,1765724708171000000,0.0
AWTEventQueue.dispatchTime90PNs,1765724672805000000,1765724708171000000,0
ReadAction.executionsCount,1765724672805000000,1765724708171000000,49075
WriteAction.executionsCount,1765724672805000000,1765724708171000000,1
FlushQueue.tasksExecuted,1765724672805000000,1765724708171000000,0
