# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.newModule.ms,1765724402974000000,1765724439292000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1765724402974000000,1765724439292000000,2
workspaceModel.mutableEntityStorage.put.entity.ms,1765724402974000000,1765724439292000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1765724402974000000,1765724439292000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1765724402974000000,1765724439292000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1765724402974000000,1765724439292000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1765724402974000000,1765724439292000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1765724402974000000,1765724439292000000,0
workspaceModel.load.cache.metadata.from.file.ms,1765724402974000000,1765724439292000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1765724402974000000,1765724439292000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1765724402974000000,1765724439292000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1765724402974000000,1765724439292000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1765724402974000000,1765724439292000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1765724402974000000,1765724439292000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1765724402974000000,1765724439292000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1765724402974000000,1765724439292000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1765724402974000000,1765724439292000000,0
workspaceModel.save.cache.to.file.ms,1765724402974000000,1765724439292000000,0
workspaceModel.load.cache.from.file.ms,1765724402974000000,1765724439292000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1765724402974000000,1765724439292000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1765724402974000000,1765724439292000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1765724402974000000,1765724439292000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1765724402974000000,1765724439292000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1765724402974000000,1765724439292000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1765724402974000000,1765724439292000000,0
workspaceModel.mutableEntityStorage.entities.ms,1765724402974000000,1765724439292000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1765724402974000000,1765724439292000000,170045
FlushQueue.waitingTime90PNs,1765724402974000000,1765724439292000000,0
FlushQueue.waitingTimeAvgNs,1765724402974000000,1765724439292000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1765724402974000000,1765724439292000000,14
FlushQueue.queueSize90P,1765724402974000000,1765724439292000000,0
ReadAction.executionsCount,1765724402974000000,1765724439292000000,49075
AWTEventQueue.dispatchTimeTotalNS,1765724402974000000,1765724439292000000,30231370262
NonBlockingReadAction.failedExecutionsCount,1765724402974000000,1765724439292000000,0
WriteAction.executionsCount,1765724402974000000,1765724439292000000,1
AWTEventQueue.dispatchTime90PNs,1765724402974000000,1765724439292000000,0
AWTEventQueue.dispatchTimeMaxNs,1765724402974000000,1765724439292000000,0
FlushQueue.tasksExecuted,1765724402974000000,1765724439292000000,0
FlushQueue.executionTimeMaxNs,1765724402974000000,1765724439292000000,0
FlushQueue.executionTimeAvgNs,1765724402974000000,1765724439292000000,0.0
FlushQueue.queueSizeMax,1765724402974000000,1765724439292000000,0
FlushQueue.waitingTimeMaxNs,1765724402974000000,1765724439292000000,0
FlushQueue.executionTime90PNs,1765724402974000000,1765724439292000000,0
AWTEventQueue.dispatchTimeAvgNs,1765724402974000000,1765724439292000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1765724402974000000,1765724439292000000,0
AWTEventQueue.eventsDispatched,1765724402974000000,1765724439292000000,0
FlushQueue.queueSizeAvg,1765724402974000000,1765724439292000000,0.0
FilePageCache.capacityInBytes,1765724402974000000,1765724439292000000,503316478
FilePageCache.uncachedFileAccess,1765724402974000000,1765724439292000000,109
DirectByteBufferAllocator.misses,1765724402974000000,1765724439292000000,192
FilePageCacheLockFree.housekeeperTimeSpentMs,1765724402974000000,1765724439292000000,530
FilePageCacheLockFree.totalNativeBytesAllocated,1765724402974000000,1765724439292000000,16384
DirectByteBufferAllocator.disposed,1765724402974000000,1765724439292000000,150
MappedFileStorage.totalBytesMapped,1765724402974000000,1765724439292000000,0
FilePageCacheLockFree.totalPagesReadMs,1765724402974000000,1765724439292000000,15
MappedFileStorage.totalPagesMapped,1765724402974000000,1765724439292000000,0
FilePageCacheLockFree.totalPagesWriteMs,1765724402974000000,1765724439292000000,0
FilePageCacheLockFree.nativeBytesInUse,1765724402974000000,1765724439292000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1765724402974000000,1765724439292000000,26567
FilePageCacheLockFree.totalHeapBytesAllocated,1765724402974000000,1765724439292000000,0
DirectByteBufferAllocator.reclaimed,1765724402974000000,1765724439292000000,45
FilePageCache.totalPageLoadsUs,1765724402974000000,1765724439292000000,274711
FilePageCacheLockFree.totalPagesRequested,1765724402974000000,1765724439292000000,4
FilePageCacheLockFree.totalHeapBytesReclaimed,1765724402974000000,1765724439292000000,0
FilePageCache.maxRegisteredFiles,1765724402974000000,1765724439292000000,529
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1765724402974000000,1765724439292000000,41959424
StorageLockContext.competingThreads.avg,1765724402974000000,1765724439292000000,0.0
FilePageCacheLockFree.totalPageAllocationsWaited,1765724402974000000,1765724439292000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1765724402974000000,1765724439292000000,74
FilePageCacheLockFree.totalNativeBytesReclaimed,1765724402974000000,1765724439292000000,16384
FilePageCacheLockFree.totalPagesRequestsMs,1765724402974000000,1765724439292000000,30
StorageLockContext.competingThreads.max,1765724402974000000,1765724439292000000,0
FilePageCacheLockFree.heapBytesInUse,1765724402974000000,1765724439292000000,0
