# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.pre.handlers.ms,1765641205597000000,1765641233354000000,0
workspaceModel.loading.from.cache.ms,1765641205597000000,1765641233354000000,41
workspaceModel.update.unloaded.entities.ms,1765641205597000000,1765641233354000000,0
workspaceModel.to.snapshot.ms,1765641205597000000,1765641233354000000,0
workspaceModel.initializing.ms,1765641205597000000,1765641233354000000,0
workspaceModel.loading.total.ms,1765641205597000000,1765641233354000000,72
workspaceModel.init.bridges.ms,1765641205597000000,1765641233354000000,0
workspaceModel.updates.ms,1765641205597000000,1765641233354000000,0
workspaceModel.collect.changes.ms,1765641205597000000,1765641233354000000,0
workspaceModel.updates.precise.ms,1765641205597000000,1765641233354000000,0
workspaceModel.check.recursive.update.ms,1765641205597000000,1765641233354000000,0
workspaceModel.replace.project.model.ms,1765641205597000000,1765641233354000000,0
workspaceModel.updates.count,1765641205597000000,1765641233354000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1765641205597000000,1765641233354000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1765641205597000000,1765641233354000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.entities.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1765641205597000000,1765641233354000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1765641205597000000,1765641233354000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1765641205597000000,1765641233354000000,0
workspaceModel.load.cache.metadata.from.file.ms,1765641205597000000,1765641233354000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1765641205597000000,1765641233354000000,0
workspaceModel.load.cache.from.file.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1765641205597000000,1765641233354000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1765641205597000000,1765641233354000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1765641205597000000,1765641233354000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1765641205597000000,1765641233354000000,2
workspaceModel.save.cache.to.file.ms,1765641205597000000,1765641233354000000,0
WriteAction.executionsCount,1765641205597000000,1765641233354000000,1
FlushQueue.queueSizeAvg,1765641205597000000,1765641233354000000,0.0
FlushQueue.executionTimeMaxNs,1765641205597000000,1765641233354000000,0
FlushQueue.waitingTimeMaxNs,1765641205597000000,1765641233354000000,0
AWTEventQueue.dispatchTimeAvgNs,1765641205597000000,1765641233354000000,0.0
FlushQueue.executionTime90PNs,1765641205597000000,1765641233354000000,0
FlushQueue.waitingTimeAvgNs,1765641205597000000,1765641233354000000,0.0
AWTEventQueue.dispatchTime90PNs,1765641205597000000,1765641233354000000,0
FlushQueue.queueSize90P,1765641205597000000,1765641233354000000,0
AWTEventQueue.dispatchTimeTotalNS,1765641205597000000,1765641233354000000,24265486977
NonBlockingReadAction.finalizedExecutionsCount,1765641205597000000,1765641233354000000,14
FlushQueue.tasksExecuted,1765641205597000000,1765641233354000000,0
AWTEventQueue.dispatchTimeMaxNs,1765641205597000000,1765641233354000000,0
ReadAction.executionsCount,1765641205597000000,1765641233354000000,49075
FlushQueue.waitingTime90PNs,1765641205597000000,1765641233354000000,0
FlushQueue.executionTimeAvgNs,1765641205597000000,1765641233354000000,0.0
NonBlockingReadAction.failedExecutionsCount,1765641205597000000,1765641233354000000,0
FlushQueue.queueSizeMax,1765641205597000000,1765641233354000000,0
NonBlockingReadAction.failedExecutionTimeUs,1765641205597000000,1765641233354000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1765641205597000000,1765641233354000000,130866
AWTEventQueue.eventsDispatched,1765641205597000000,1765641233354000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1765641205597000000,1765641233354000000,0
DirectByteBufferAllocator.disposed,1765641205597000000,1765641233354000000,150
FilePageCache.disposedBuffers,1765641205597000000,1765641233354000000,193
FilePageCacheLockFree.heapBytesInUse,1765641205597000000,1765641233354000000,0
StorageLockContext.competingThreads.avg,1765641205597000000,1765641233354000000,0.0
FilePageCache.pageFastCacheHits,1765641205597000000,1765641233354000000,13361
FilePageCache.maxRegisteredFiles,1765641205597000000,1765641233354000000,529
FilePageCacheLockFree.totalPagesWritten,1765641205597000000,1765641233354000000,3
FilePageCache.maxCacheSizeInBytes,1765641205597000000,1765641233354000000,199229440
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1765641205597000000,1765641233354000000,41959424
FilePageCache.pageLoadsAboveSizeThreshold,1765641205597000000,1765641233354000000,0
FilePageCacheLockFree.totalPagesReclaimed,1765641205597000000,1765641233354000000,2
FilePageCacheLockFree.totalHeapBytesAllocated,1765641205597000000,1765641233354000000,0
FilePageCache.totalPageLoadsUs,1765641205597000000,1765641233354000000,152058
FilePageCacheLockFree.totalPagesRequested,1765641205597000000,1765641233354000000,9
FilePageCacheLockFree.totalHeapBytesReclaimed,1765641205597000000,1765641233354000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1765641205597000000,1765641233354000000,0
FilePageCacheLockFree.nativeBytesInUse,1765641205597000000,1765641233354000000,0
FilePageCache.capacityInBytes,1765641205597000000,1765641233354000000,503316478
DirectByteBufferAllocator.misses,1765641205597000000,1765641233354000000,192
MappedFileStorage.totalTimeSpentOnMappingUs,1765641205597000000,1765641233354000000,1343250
FilePageCacheLockFree.totalBytesWritten,1765641205597000000,1765641233354000000,24
MappedFileStorage.totalPagesMapped,1765641205597000000,1765641233354000000,0
FilePageCache.uncachedFileAccess,1765641205597000000,1765641233354000000,328
FilePageCache.pageLoads,1765641205597000000,1765641233354000000,193
FilePageCacheLockFree.totalPagesReadMs,1765641205597000000,1765641233354000000,27
FilePageCacheLockFree.totalBytesRequested,1765641205597000000,1765641233354000000,73728
FilePageCacheLockFree.housekeeperTimeSpentMs,1765641205597000000,1765641233354000000,247
FilePageCacheLockFree.totalPagesWriteMs,1765641205597000000,1765641233354000000,2
MappedFileStorage.totalBytesMapped,1765641205597000000,1765641233354000000,0
FilePageCacheLockFree.totalPagesHandedOver,1765641205597000000,1765641233354000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1765641205597000000,1765641233354000000,16384
FilePageCacheLockFree.housekeeperTurnsSkipped,1765641205597000000,1765641233354000000,20940
FilePageCacheLockFree.totalPagesRequestsMs,1765641205597000000,1765641233354000000,34
FilePageCacheLockFree.totalNativeBytesReclaimed,1765641205597000000,1765641233354000000,16384
FilePageCache.totalPageDisposalsUs,1765641205597000000,1765641233354000000,2864
FilePageCacheLockFree.totalPagesAllocated,1765641205597000000,1765641233354000000,2
FilePageCacheLockFree.totalBytesRead,1765641205597000000,1765641233354000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1765641205597000000,1765641233354000000,41959424
MappedFileStorage.storages,1765641205597000000,1765641233354000000,0
DirectByteBufferAllocator.reclaimed,1765641205597000000,1765641233354000000,45
StorageLockContext.competingThreads.max,1765641205597000000,1765641233354000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1765641205597000000,1765641233354000000,57
FilePageCache.pageHits,1765641205597000000,1765641233354000000,0
DirectByteBufferAllocator.hits,1765641205597000000,1765641233354000000,3
FilePageCacheLockFree.totalClosedStoragesReclaimed,1765641205597000000,1765641233354000000,2
StorageLockContext.competingThreads.90P,1765641205597000000,1765641233354000000,0
