# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesRequested,1765724110876000000,1765724144798000000,4
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1765724110876000000,1765724144798000000,41959424
FilePageCacheLockFree.totalHeapBytesAllocated,1765724110876000000,1765724144798000000,0
FilePageCache.pageFastCacheHits,1765724110876000000,1765724144798000000,3812
FilePageCacheLockFree.totalNativeBytesAllocated,1765724110876000000,1765724144798000000,16384
FilePageCache.totalPageLoadsUs,1765724110876000000,1765724144798000000,236797
MappedFileStorage.totalTimeSpentOnMappingUs,1765724110876000000,1765724144798000000,935
FilePageCacheLockFree.totalNativeBytesReclaimed,1765724110876000000,1765724144798000000,16384
FilePageCacheLockFree.housekeeperTimeSpentMs,1765724110876000000,1765724144798000000,308
FilePageCacheLockFree.totalClosedStoragesReclaimed,1765724110876000000,1765724144798000000,2
StorageLockContext.competingThreads.max,1765724110876000000,1765724144798000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1765724110876000000,1765724144798000000,41959424
FileChannelInterruptsRetryer.totalRetriedAttempts,1765724110876000000,1765724144798000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1765724110876000000,1765724144798000000,0
FilePageCacheLockFree.totalPagesHandedOver,1765724110876000000,1765724144798000000,0
FilePageCacheLockFree.totalPagesReclaimed,1765724110876000000,1765724144798000000,2
FilePageCacheLockFree.totalPagesAllocated,1765724110876000000,1765724144798000000,2
FilePageCache.pageLoads,1765724110876000000,1765724144798000000,193
StorageLockContext.competingThreads.90P,1765724110876000000,1765724144798000000,0
FilePageCacheLockFree.totalPagesReadMs,1765724110876000000,1765724144798000000,9
FilePageCacheLockFree.totalBytesWritten,1765724110876000000,1765724144798000000,0
FilePageCacheLockFree.heapBytesInUse,1765724110876000000,1765724144798000000,0
FilePageCache.disposedBuffers,1765724110876000000,1765724144798000000,193
StorageLockContext.competingThreads.avg,1765724110876000000,1765724144798000000,0.0
FilePageCacheLockFree.totalPagesWritten,1765724110876000000,1765724144798000000,0
FilePageCacheLockFree.totalBytesRead,1765724110876000000,1765724144798000000,16
DirectByteBufferAllocator.hits,1765724110876000000,1765724144798000000,3
DirectByteBufferAllocator.misses,1765724110876000000,1765724144798000000,192
FilePageCache.capacityInBytes,1765724110876000000,1765724144798000000,503316478
FilePageCacheLockFree.nativeBytesInUse,1765724110876000000,1765724144798000000,0
DirectByteBufferAllocator.disposed,1765724110876000000,1765724144798000000,150
FilePageCacheLockFree.totalPagesWriteMs,1765724110876000000,1765724144798000000,0
FilePageCache.uncachedFileAccess,1765724110876000000,1765724144798000000,109
FilePageCacheLockFree.housekeeperTurnsDone,1765724110876000000,1765724144798000000,69
FilePageCacheLockFree.totalPageAllocationsWaited,1765724110876000000,1765724144798000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1765724110876000000,1765724144798000000,11
DirectByteBufferAllocator.reclaimed,1765724110876000000,1765724144798000000,45
FilePageCache.pageHits,1765724110876000000,1765724144798000000,0
MappedFileStorage.storages,1765724110876000000,1765724144798000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1765724110876000000,1765724144798000000,25341
MappedFileStorage.totalPagesMapped,1765724110876000000,1765724144798000000,0
FilePageCache.totalPageDisposalsUs,1765724110876000000,1765724144798000000,6507
FilePageCache.maxRegisteredFiles,1765724110876000000,1765724144798000000,529
FilePageCacheLockFree.totalBytesRequested,1765724110876000000,1765724144798000000,32768
MappedFileStorage.totalBytesMapped,1765724110876000000,1765724144798000000,0
FilePageCache.maxCacheSizeInBytes,1765724110876000000,1765724144798000000,199229440
FilePageCache.pageLoadsAboveSizeThreshold,1765724110876000000,1765724144798000000,0
workspaceModel.replace.project.model.ms,1765724110876000000,1765724144798000000,0
workspaceModel.updates.ms,1765724110876000000,1765724144798000000,0
workspaceModel.initializing.ms,1765724110876000000,1765724144798000000,0
workspaceModel.updates.precise.ms,1765724110876000000,1765724144798000000,0
workspaceModel.update.unloaded.entities.ms,1765724110876000000,1765724144798000000,0
workspaceModel.loading.from.cache.ms,1765724110876000000,1765724144798000000,51
workspaceModel.collect.changes.ms,1765724110876000000,1765724144798000000,0
workspaceModel.updates.count,1765724110876000000,1765724144798000000,0
workspaceModel.check.recursive.update.ms,1765724110876000000,1765724144798000000,0
workspaceModel.pre.handlers.ms,1765724110876000000,1765724144798000000,0
workspaceModel.loading.total.ms,1765724110876000000,1765724144798000000,79
workspaceModel.init.bridges.ms,1765724110876000000,1765724144798000000,0
workspaceModel.to.snapshot.ms,1765724110876000000,1765724144798000000,0
workspaceModel.load.cache.from.file.ms,1765724110876000000,1765724144798000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1765724110876000000,1765724144798000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1765724110876000000,1765724144798000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1765724110876000000,1765724144798000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1765724110876000000,1765724144798000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1765724110876000000,1765724144798000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1765724110876000000,1765724144798000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1765724110876000000,1765724144798000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1765724110876000000,1765724144798000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1765724110876000000,1765724144798000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1765724110876000000,1765724144798000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1765724110876000000,1765724144798000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1765724110876000000,1765724144798000000,2
workspaceModel.mutableEntityStorage.add.diff.ms,1765724110876000000,1765724144798000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1765724110876000000,1765724144798000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1765724110876000000,1765724144798000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1765724110876000000,1765724144798000000,0
workspaceModel.save.cache.to.file.ms,1765724110876000000,1765724144798000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1765724110876000000,1765724144798000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1765724110876000000,1765724144798000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1765724110876000000,1765724144798000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1765724110876000000,1765724144798000000,0
workspaceModel.load.cache.metadata.from.file.ms,1765724110876000000,1765724144798000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1765724110876000000,1765724144798000000,0
workspaceModel.mutableEntityStorage.entities.ms,1765724110876000000,1765724144798000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1765724110876000000,1765724144798000000,0
AWTEventQueue.dispatchTimeAvgNs,1765724110876000000,1765724144798000000,1.8061353637065638E7
FlushQueue.waitingTime90PNs,1765724110876000000,1765724144798000000,15971909631
AWTEventQueue.eventsDispatched,1765724110876000000,1765724144798000000,1554
FlushQueue.queueSize90P,1765724110876000000,1765724144798000000,511
NonBlockingReadAction.finalizedExecutionsCount,1765724110876000000,1765724144798000000,14
FlushQueue.queueSizeMax,1765724110876000000,1765724144798000000,563
NonBlockingReadAction.failedExecutionTimeUs,1765724110876000000,1765724144798000000,0
FlushQueue.executionTimeAvgNs,1765724110876000000,1765724144798000000,838825.9282758621
FlushQueue.queueSizeAvg,1765724110876000000,1765724144798000000,275.0303448275862
NonBlockingReadAction.finalizedExecutionTimeUs,1765724110876000000,1765724144798000000,145520
NonBlockingReadAction.failedExecutionsCount,1765724110876000000,1765724144798000000,0
FlushQueue.executionTime90PNs,1765724110876000000,1765724144798000000,1032191
FlushQueue.tasksExecuted,1765724110876000000,1765724144798000000,725
FlushQueue.waitingTimeAvgNs,1765724110876000000,1765724144798000000,6.92015540224E9
AWTEventQueue.dispatchTimeMaxNs,1765724110876000000,1765724144798000000,26977763327
AWTEventQueue.dispatchTime90PNs,1765724110876000000,1765724144798000000,362495
FlushQueue.executionTimeMaxNs,1765724110876000000,1765724144798000000,140509183
WriteAction.executionsCount,1765724110876000000,1765724144798000000,1
ReadAction.executionsCount,1765724110876000000,1765724144798000000,49075
AWTEventQueue.dispatchTimeTotalNS,1765724110876000000,1765724144798000000,28006274587
FlushQueue.waitingTimeMaxNs,1765724110876000000,1765724144798000000,21877489663
